IMG Genome ID 	Culture Collection	Genome Name	Domain	Phylum	Class	Order	Family	Genome Size (bp)	Gene Count	CDS Count	% Coding Bases	% G+C	No. of Scaffolds	Check M Completeness (%)	Gap (%)	N/L50	N/L90	CDS in KEGG	% CDS in KEGG	CDS in COG	% CDS in COG	CDS in Pfam	% CDS in Pfam	GenBank ID/Accession
2501533205	DSMZ	Dethiosulfovibrio peptidovorans SEBR 4207, DSM 11002	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	2576359	2527	2458	93.12	54.42	3	100	0	1/2567 KB	1/2567 KB	828	33.69	1746	71.03	2073	84.34	ABTR00000000
648276680	DSMZ	Ktedonobacter racemifer SOSP1-21, DSM 44963	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	13661586	11540	11453	76.29	53.79	10	99.67	0	3/2766 KB	5/1303 KB	1527	13.33	5470	47.76	7785	67.97	ADVG00000000
2509601029	DSMZ	Thermaerobacter subterraneus C21, DSM 13965	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	2888741	2423	2364	85.29	72.04	2	100	0.01	1/2498 KB	2/391 KB	838	35.45	1668	70.56	2043	86.42	AENY00000000
2503754046	DSMZ	Prevotella multisaccharivorax PPPA20, DSM 17128	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	3388644	2951	2876	90.07	48.29	3	98.65	0.033	1/3334 KB	1/3334 KB	645	22.43	1404	48.82	2148	74.69	AFJE00000000
2509276035	DSMZ	Saprospira grandis HR1, DSM 2844	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	4495250	3598	3536	83.24	45.98	5	100	0.158	1/4423 KB	1/4423 KB	650	18.38	1514	42.82	2291	64.79	AGRT00000000
2509276055	DSMZ	Treponema saccharophilum PB, DSM 2985	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	3449536	2923	2862	89.06	53.18	4	100	0	1/2637 KB	3/382 KB	785	27.43	1608	56.18	2142	74.84	AGRW00000000
2509601028	DSMZ	Holophaga foetida TMBS4, DSM 6591	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	4127237	3672	3615	90.48	62.9	3	99.12	0.087	1/3443 KB	2/677 KB	1018	28.16	2249	62.21	2876	79.56	AGSB00000000
2528311135	DSMZ	Escherichia coli O1:K1:H7 U5/41, DSM 30083	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	5038133	4937	4762	89.18	50.64	2	99.67	0.004	1/4907 KB	1/4907 KB	1624	34.10	3651	76.67	4368	91.73	AGSE00000000
2506783053	DSMZ	Gillisia limnaea R-8282, DSM 15749	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	3966857	3620	3569	87.62	37.58	2	99.49	0.082	1/3559 KB	2/408 KB	840	23.54	2028	56.82	2776	77.78	AHKR00000000
2506783010	DSMZ	Leptonema illini 3055, DSM 21528	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Leptospiraceae	4522760	4277	4230	91.65	54.24	3	100	0.038	1/4325 KB	1/4325 KB	900	21.28	2204	52.10	3031	71.65	AHKT00000000
2509276026	DSMZ	Joostella marina En5, DSM 19592	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	4508243	4004	3944	87.54	33.59	2	99.67	0.002	1/3950 KB	2/558 KB	841	21.32	2111	53.52	3094	78.45	AJUG00000000
2506520049	DSMZ	Thiothrix nivea JP2, DSM 5205	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	4691711	4594	4542	91.98	54.86	4	99.94	0.023	1/4638 KB	1/4638 KB	1089	23.98	2652	58.39	3582	78.86	AJUL00000000
2509276023	DSMZ	Alkaliflexus imshenetskii Z-7010, DSM 15055	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	4122270	3393	3322	88.00	42.67	5	96.74	0.102	1/4109 KB	1/4109 KB	817	24.59	1881	56.62	2637	79.38	AJUM00000000
2509601036	DSMZ	Prevotella bivia 653C, DSM 20514	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	2521238	2246	2178	88.09	39.84	3	99.49	0.044	1/1982 KB	2/400 KB	562	25.80	1144	52.53	1691	77.64	AJVZ00000000
2517434011	DSMZ	Loktanella hongkongensis DSM 17492	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	3187878	3152	3095	90.97	68.35	17	99.24	0.003	4/333 KB	10/103 KB	1071	34.60	2284	73.80	2680	86.59	AQOX00000000
2522125083	DSMZ	Robiginitomaculum antarcticum DSM 21748	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	2769471	2687	2643	91.75	52.47	5	99.84	0.023	2/544 KB	4/343 KB	831	31.44	1825	69.05	2190	82.86	AQOY00000000
2521172647	DSMZ	Pseudomonas thermotolerans DSM 14292	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	3757616	3633	3538	89.80	66.76	76	100	0.09	9/160 KB	27/36 KB	1214	34.31	2690	76.03	3174	89.71	AQPA00000000
2517287026	DSMZ	Actinopolyspora halophila DSM 43834	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales	Actinopolysporaceae	5353291	4973	4898	85.47	68.02	2	100	0	1/5259 KB	1/5259 KB	1184	24.17	2877	58.74	3788	77.34	AQUI00000000
2515154019	DSMZ	Aggregatibacter actinomycetemcomitans sv. C DSM 8324	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	2085887	2112	2039	88.13	44.42	33	99.77	0.001	7/121 KB	17/39 KB	836	41.00	1567	76.85	1805	88.52	AQUU00000000
2517572222	DSMZ	Corynebacterium capitovis DSM 44611	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	1960866	1940	1876	94.04	64.53	5	99.71	0	2/641 KB	4/265 KB	645	34.38	1319	70.31	1585	84.49	AQUV00000000
2515154014	DSMZ	Corynebacterium ciconiae DSM 44920	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	2547296	2275	2214	88.95	62.06	23	99.9	0	3/314 KB	7/153 KB	770	34.78	1549	69.96	1840	83.11	AQUW00000000
2515154029	DSMZ	Corynebacterium doosanense CAU 212, DSM 45436	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	2649125	2658	2590	91.28	66.91	42	99.67	0.001	4/192 KB	13/51 KB	726	28.03	1654	63.86	2036	78.61	AQUX00000000
2515154059	DSMZ	Corynebacterium ulceribovis DSM 45146	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	2300451	2158	2104	92.21	59.23	8	100	0.001	1/1158 KB	3/294 KB	656	31.18	1368	65.02	1682	79.94	AQUY00000000
2515154140	DSMZ	Kribbella catacumbae DSM 19601	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	9627810	9069	8992	89.77	67.5	152	100	0.001	22/138 KB	73/42 KB	1667	18.54	5037	56.02	6796	75.58	AQUZ00000000
2515154139	DSMZ	Oenococcus oeni DSM 20252	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	1737581	1850	1797	88.71	37.85	28	98.4	0.003	5/138 KB	13/44 KB	658	36.62	1252	69.67	1498	83.36	AQVA00000000
2515154022	DSMZ	Oligella urethralis DSM 7531	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	2313423	2204	2141	90.28	46.4	47	99.2	0.003	7/117 KB	21/20 KB	834	38.95	1659	77.49	1917	89.54	AQVB00000000
2515154109	DSMZ	Porphyromonas somerae DSM 23386	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	2358240	2076	2010	88.79	47.05	96	99.42	0.002	18/43 KB	54/15 KB	540	26.87	1084	53.93	1538	76.52	AQVC00000000
2515154024	DSMZ	Streptococcus ferus DSM 20646	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1847340	1889	1820	90.77	42.74	12	99.63	0.002	2/471 KB	6/125 KB	663	36.43	1396	76.70	1620	89.01	AQVD00000000
2515154021	DSMZ	Thiothrix disciformis DSM 14473	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	3923954	3869	3801	91.11	45.09	71	98.24	0	10/123 KB	30/40 KB	1150	30.26	2437	64.11	3056	80.40	AQVE00000000
2515154079	DSMZ	Martelella mediterranea DSM 17316	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	5643744	5266	5198	89.13	62.42	75	99.42	0.001	11/161 KB	39/41 KB	1628	31.32	4064	78.18	4625	88.98	AQWH00000000
2515154085	DSMZ	Dysgonomonas mossii DSM 22836	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	3923801	3437	3381	90.24	37.47	32	100	0	3/734 KB	9/126 KB	795	23.51	1849	54.69	2651	78.41	AQWJ00000000
2515154075	DSMZ	Novosphingobium nitrogenifigens Y88, DSM 19370	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	4148973	3807	3741	91.02	63.97	48	99.48	0.002	5/379 KB	17/61 KB	1147	30.66	2648	70.78	3197	85.46	AQWK00000000
2515154078	DSMZ	Thiobacillus denitrificans DSM 12475	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	3609948	3651	3545	90.86	62.7	38	100	0.001	5/390 KB	14/51 KB	1019	28.74	2253	63.55	2829	79.80	AQWL00000000
2515154077	ATCC	Asticcacaulis benevestitus DSM 16100, ATCC BAA-896	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	4987073	4633	4572	87.79	58.41	100	99.68	0.002	10/120 KB	44/25 KB	1182	25.85	2782	60.85	3563	77.93	AQWM00000000
2515154092	DSMZ	Desulfurispora thermophila DSM 16022	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	2823245	2815	2735	88.14	55.18	20	99.37	0.002	5/278 KB	11/135 KB	896	32.76	1794	65.59	2281	83.40	AQWN00000000
2517093003	DSMZ	Porphyromonas bennonis DSM 23058	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	2025016	1700	1649	89.18	56.32	88	97.03	0.001	15/46 KB	50/12 KB	505	30.62	970	58.82	1335	80.96	AQWR00000000
2517093002	DSMZ	Bacteroides propionicifaciens DSM 19291	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	2636668	2351	2286	89.96	38	73	99.24	0.001	14/74 KB	38/23 KB	681	29.79	1370	59.93	1884	82.41	AQWS00000000
2515154132	DSMZ	Streptococcus mutans DSM 20523	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1988767	1952	1890	86.85	36.71	20	100	0.002	3/320 KB	8/86 KB	695	36.77	1422	75.24	1673	88.52	AQWT00000000
2515154172	ATCC	Thermus igniterrae ATCC 700962	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	2227749	2379	2325	95.17	68.79	75	99.58	0.002	14/62 KB	41/18 KB	850	36.56	1661	71.44	1946	83.70	AQWU00000000
2515154131	DSMZ	Corynebacterium mastitidis DSM 44356	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	2371802	2303	2241	89.10	68.98	40	99.67	0.001	4/243 KB	8/116 KB	690	30.79	1432	63.90	1714	76.48	AQXB00000000
2515154156	DSMZ	Corynebacterium propinquum DSM 44285	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	2458635	2285	2228	90.12	56.44	22	99.78	0.001	5/178 KB	12/100 KB	711	31.91	1472	66.07	1772	79.53	AQXC00000000
2517487021	DSMZ	Wohlfahrtiimonas chitiniclastica DSM 18708	Bacteria	Proteobacteria	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	1992824	1912	1855	93.34	44.13	8	100	0.001	2/406 KB	4/177 KB	737	39.73	1481	79.84	1675	90.30	AQXD00000000
2515154157	DSMZ	Desulfovibrio oxyclinae DSM 11498	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	3329525	3163	3095	90.56	59.11	33	95.27	0.005	6/220 KB	15/76 KB	938	30.31	1996	64.49	2535	81.91	AQXE00000000
2517093004	DSMZ	Kordiimonas gwangyangensis DSM 19435	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	4082245	3778	3720	91.46	57.51	13	100	0.001	3/686 KB	6/325 KB	1027	27.61	2571	69.11	3158	84.89	AQXF00000000
